name,categoria,calories,protein,carbs,fat,fiber,sugar,sodium,n_productos
Maiz Pisado Blanco,CEREALES Y HARINAS,334.0,8.0,74.0,2.0,2.6,0.0,0.0,16
Dulce De Cayote,CONFITURAS Y DULCES,250.0,0.0,62.5,0.0,1.0,56.0,0.0,16
Helado De Crema De Chocolate,HELADOS,193.3,3.8,25.0,8.2,1.2,23.3,44.2,16
Helado De Crema De Dulce De Leche,HELADOS,185.0,4.0,25.5,6.8,0.2,26.7,58.3,16
Dulce De Cereza,CONFITURAS Y DULCES,255.0,0.0,63.5,0.0,0.0,55.0,0.0,16
Zapallo En Almibar,CONFITURAS Y DULCES,262.9,0.0,65.0,0.0,1.5,62.0,0.0,15
Arroz Pulido Tipo Largo Fino Calidad 00000,CEREALES Y HARINAS,344.0,6.8,80.0,0.0,1.8,1.5,0.0,15
Queso De Crema,QUESOS,330.0,6.3,3.3,33.3,0.2,3.0,393.3,15
Alimento Para Propósitos Médicos Específicos,SUPLEMENTOS Y DIETÉTICOS,413.3,15.3,51.1,15.3,0.0,4.3,259.3,15
Leche Uat Descremada,LÁCTEOS,34.0,3.4,5.0,0.3,,5.0,44.5,15
Harina De Trigo Tipo 00,CEREALES Y HARINAS,348.0,12.0,72.0,2.0,2.4,1.0,0.0,15
Confitura De Arandanos,CONFITURAS Y DULCES,255.0,0.0,56.5,0.0,0.8,55.0,0.0,15
Confitura De Damasco,CONFITURAS Y DULCES,230.0,0.0,55.0,0.0,0.5,55.0,0.0,15
Queso Semigraso De Baja Humedad,QUESOS,396.7,32.0,0.0,30.0,0.0,1.0,580.0,15
"Alimento Para Propósitos Médicos Específicos Líquido, Nutricionalmente Completo",SUPLEMENTOS Y DIETÉTICOS,150.0,6.0,19.0,5.0,2.0,1.9,100.0,15
Berenjenas En Escabeche,VEGETALES Y FRUTAS,132.0,1.2,6.0,11.8,2.4,3.2,326.0,15
Dulce De Ciruela,CONFITURAS Y DULCES,250.0,0.0,65.0,0.0,0.0,60.0,0.0,15
Dulce De Zarzamora,CONFITURAS Y DULCES,265.0,0.0,65.0,0.0,2.5,65.0,0.0,15
Pickles Mixtos En Vinagre De Alcohol,VEGETALES Y FRUTAS,29.0,0.0,6.0,0.0,0.0,0.0,1180.0,14
Porotos Negros,VEGETALES Y FRUTAS,276.7,21.7,56.7,1.2,15.3,2.1,0.0,14
Coco Rallado,VEGETALES Y FRUTAS,633.3,7.5,13.3,61.7,10.0,17.9,0.0,14
Masa Precocida Para Pizza,MASAS Y PANADERÍA,283.8,7.1,57.9,2.5,1.5,0.1,535.0,14
Helado De Leche Sabor Americana,HELADOS,140.0,3.4,24.2,4.3,0.0,21.7,51.7,14
Helado De Leche Sabor Chocolate,HELADOS,150.3,3.9,24.7,4.0,1.7,20.8,52.5,14
Pan Lactal,MASAS Y PANADERÍA,343.0,8.9,66.0,4.4,2.8,4.8,394.3,14
Panceta Salada,CARNES Y CHACINADOS,385.0,18.1,7.5,34.0,0.0,0.0,1988.8,14
Aceite De Coco,ACEITES Y GRASAS,888.5,0.4,0.0,100.0,0.0,0.0,0.0,14
Pasta Seca De Semola De Trigo Duro,PASTAS,355.0,12.5,72.5,1.5,2.9,3.0,0.0,14
Arvejas Supercongeladas,VEGETALES Y FRUTAS,78.4,5.7,9.5,1.3,5.1,2.8,10.5,14
Pan Blanco,MASAS Y PANADERÍA,260.0,7.7,49.0,4.0,2.0,2.4,392.0,14
Queso Azul,QUESOS,351.7,20.5,0.7,30.0,0.0,0.5,1096.7,14
Concentrado Doble De Tomates,VEGETALES Y FRUTAS,103.3,4.0,21.3,0.0,4.0,13.3,180.0,14
Chocolate Con Leche Con Almendras,CACAO Y CHOCOLATE,560.0,11.6,44.0,36.0,4.0,39.0,90.0,14
Maiz Pisingallo,CEREALES Y HARINAS,336.0,9.9,64.0,3.6,9.6,0.0,0.0,14
Frambuesas Pasteurizadas,VEGETALES Y FRUTAS,68.6,0.6,16.4,0.2,2.7,15.7,0.0,14
Dulce De Mosqueta,CONFITURAS Y DULCES,270.0,0.0,65.0,0.0,0.0,65.0,0.0,14
Queso Mozzarella,QUESOS,323.3,25.0,2.0,23.7,0.0,2.0,533.3,14
Aderezo A Base De Aceitunas Negras,SALSAS Y ADEREZOS,250.0,0.0,5.0,25.0,0.0,0.0,900.0,13
Quinotos En Almibar,CONFITURAS Y DULCES,245.0,0.0,60.0,0.0,1.6,55.0,0.0,13
Helado De Crema Sabor Dulce De Leche,HELADOS,205.0,3.6,26.7,8.2,0.0,26.7,101.7,13
Chorizo Fresco De Cerdo,CARNES Y CHACINADOS,296.0,16.0,3.0,22.0,0.0,0.0,696.0,13
