rnpa,name,marca,categoria,unidad,calories,protein,carbs,fat,fat_sat,fat_trans,fiber,sugar,sodium,provincia
06-003064,PASTAS FRESCAS AL HUEVO -TALLARÍN/ PASTAS FRESCAS AL HUEVO-CINTA (EL NONO),EL NONO,PASTAS,g,287.0,8.0,63.0,0.5,0.4,,,0.0,188.0,Datos Alimentos Chaco 06
06-003059,MIEL (ARGENMIELES),ARGENMIELES,CONFITURAS Y DULCES,g,325.0,,80.0,,,,,,0.0,Datos Alimentos Chaco 06
06-003053,"BEBIDA SIN ALCOHOL ARTIFICIAL, GASIFICADA, CON SABOR A GUARANA (CABALGATA)",CABALGATA,BEBIDAS ANALCOHÓLICAS,ml,45.0,0.0,11.0,0.0,0.0,0.0,0.0,10.0,10.0,Datos Alimentos Chaco 06
06-003037,"HELADO DE CREMA SABOR CHANTILLY, RECUBIERTO CON BAÑO DE REPOSTERÍA (POLO SUR)",POLO SUR,HELADOS,g,258.33,2.0,40.0,10.0,7.17,,,25.0,38.33,Datos Alimentos Chaco 06
06-003036,HELADO DE AGUA SABOR FRUTILLA (POLO SUR),POLO SUR,HELADOS,g,103.33,,25.0,,,,,21.67,,Datos Alimentos Chaco 06
06-003034,PASTAS RELLENAS CONGELADAS-SORRENTINOS DE CUATRO QUESOS (PASTILETY),PASTILETY,PASTAS,g,268.0,8.0,51.0,4.0,2.0,,,0.5,473.0,Datos Alimentos Chaco 06
06-003033,PASTAS RELLENAS CONGELADAS-SORRENTINOS DE JAMON Y QUESO (PASTILETY),PASTILETY,PASTAS,g,227.0,8.0,40.0,4.0,1.2,,,0.4,268.0,Datos Alimentos Chaco 06
06-003025,GALLETA MARINERA (ZORZÓN),ZORZÓN,GALLETITAS Y BARRAS,g,400.0,10.0,80.0,3.33,,,,0.67,476.67,Datos Alimentos Chaco 06
06-003024,GRISINES CON SALVADO (ZORZÓN),ZORZÓN,GALLETITAS Y BARRAS,g,370.0,10.0,80.0,3.33,3.33,,2.33,0.67,743.33,Datos Alimentos Chaco 06
06-003023,GRISINES (ZORZÓN),ZORZÓN,GALLETITAS Y BARRAS,g,386.67,6.67,83.33,3.33,3.33,,,0.67,746.67,Datos Alimentos Chaco 06
06-003022,LENGUAS DE GATO (SANTIAGO),SANTIAGO,GALLETITAS Y BARRAS,g,486.67,10.0,66.67,20.0,11.67,,,9.0,43.33,Datos Alimentos Chaco 06
06-003021,ALFAJOR DE MAICENA (SANTIAGO),SANTIAGO,GALLETITAS Y BARRAS,g,425.0,5.0,65.0,18.25,10.75,,,13.0,82.5,Datos Alimentos Chaco 06
06-003016,TAPAS PARA EMPANADAS FREIR (EL NONO),EL NONO,MASAS Y PANADERÍA,g,326.67,6.67,53.33,10.0,3.67,0.87,,0.0,733.33,Datos Alimentos Chaco 06
06-003015,TAPAS PARA EMPANADAS-HORNO (EL NONO),EL NONO,MASAS Y PANADERÍA,g,340.0,6.67,53.33,10.0,5.67,1.33,,,590.0,Datos Alimentos Chaco 06
06-003009,"HELADO DE CREMA SABOR AMERICANA, RELLENO CON DULCE DE LECHE Y RECUBIERTO CON BAÑO DE REPOSTERÍA. (LUIGI)",LUIGI,HELADOS,g,315.0,5.17,25.0,20.0,12.0,,,15.67,48.33,Datos Alimentos Chaco 06
06-003005,Tarta de Zapallitos Congelada (AGUSTÍN CONGELADOS),AGUSTÍN CONGELADOS,COMIDAS PREPARADAS,,,,,,,,,,,Datos Alimentos Chaco 06
06-003004,Tarta de Jamón y Queso Congelada (AGUSTÍN CONGELADOS),AGUSTÍN CONGELADOS,COMIDAS PREPARADAS,,,,,,,,,,,Datos Alimentos Chaco 06
06-003003,Tarta de Cebolla y Queso Congelada (AGUSTÍN CONGELADOS),AGUSTÍN CONGELADOS,COMIDAS PREPARADAS,,,,,,,,,,,Datos Alimentos Chaco 06
06-002997,MEZCLA DE ESPECIAS - CHIMICHURRI (PICANTES DEL NORTE),PICANTES DEL NORTE,CONDIMENTOS Y ESPECIAS,g,,,,,,,,,,Datos Alimentos Chaco 06
